"","teach","class.type","class.per","pre.2","pre.4","Q2A1","Q2A2","Q2A3","Q2A4","Q2A5","Q2A6","Q4A1","Q4A2","Q4A3","Q4A4","Q4A5","Q4A6","Q4A7","Q4_Fac1_Score","Q4_Fac2_Score","Q2_1_Fac_Score","Q2_2Fac_Fac1_Score","Q2_2Fac_Fac2_Score"
"28",1,1,0.36167392,-3.279736989,-3.666488184,1,0,0,0,0,1,3,5,3,1,3,2,1,-1.73034468743594,-2.17240806379916,-0.751821144860298,-0.700521104254516,-0.572480043784732
"29",1,1,0.703297596,-3.639629416,-3.586604163,0,0,0,0,0,0,1,5,1,1,1,1,1,-3.57801333945551,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"30",1,1,0.444811465,-2.612574444,-3.308085873,1,0,0,0,0,1,3,5,3,1,1,1,1,-2.11339371445378,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"31",1,1,0.242303685,-2.90433141,-3.792056475,0,1,0,0,0,1,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"32",1,1,0.312903186,-3.863962779,-3.733387986,0,0,0,0,0,0,3,5,2,1,1,1,1,-2.34529354450057,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"33",1,1,0.62530571,-4.0763153,-3.851456781,0,0,0,0,0,0,1,5,1,1,3,1,3,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"34",1,1,0.105761815,-4.011414693,-3.190467611,0,0,0,0,0,0,5,5,1,1,3,1,3,-1.3884666837332,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"35",1,1,0.935585303,-4.50769509,-3.193946105,0,0,0,0,0,0,3,5,3,1,1,1,3,-1.73034468743594,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"36",1,1,0.580766835,-4.250866103,-3.928872976,0,0,0,0,0,0,3,5,3,1,1,1,1,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"37",1,1,0.195096101,-3.535085927,-3.624861801,1,0,0,0,0,1,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"38",1,1,0.695179613,-3.805242961,-3.766949254,0,0,0,0,0,0,3,5,1,1,1,1,2,-2.34529354450057,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"39",1,1,0.425640056,-3.661507653,-3.307024765,0,0,0,0,0,0,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"40",1,1,0.427609688,-3.878114286,-3.237682356,0,0,0,0,0,0,5,5,1,1,1,1,3,-1.73034468743594,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"41",1,1,0.421780515,-3.181556791,-3.106694806,1,0,0,0,0,1,1,5,1,1,3,1,1,-2.63854706455174,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"42",1,1,0.093885455,-4.312129347,-3.246725387,0,0,0,0,0,0,5,5,1,1,3,1,1,-1.73034468743594,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"43",1,1,0.925260963,-3.870128045,-3.854438168,1,1,0,0,0,1,1,5,1,1,1,1,1,-3.57801333945551,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"44",1,1,0.300363134,-4.042056993,-4.31817521,0,0,0,0,0,0,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"45",1,1,0.797188273,-2.711540555,-3.350595264,1,0,0,0,0,1,4,5,3,1,1,1,1,-1.91298931262161,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"46",1,1,0.681660405,-3.511777588,-4.071127427,0,0,0,0,0,0,3,5,1,1,1,1,2,-2.34529354450057,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"47",1,2,0.483448381,-2.587261483,-2.492839744,0,0,0,0,0,0,3,5,1,2,3,1,3,-1.73034468743594,-2.17240806379916,-1.13165369411085,-1.10699228536153,-0.572480043784732
"48",1,2,0.520850219,-1.237693902,-2.722312443,0,1,0,0,0,1,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"49",1,2,0.201557591,-2.942160574,-3.46156437,0,0,0,0,0,0,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"50",1,2,0.427767218,-2.290464103,-2.67445699,0,0,0,0,0,0,1,5,1,1,3,1,1,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"51",1,2,0.354141952,-2.958827166,-3.315958694,0,1,0,0,0,1,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"52",1,2,0.32998871,-2.461700448,-3.632406107,1,0,0,0,0,1,3,5,1,1,3,1,1,-2.11339371445378,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"53",1,2,0.206968705,-3.460386314,-3.829456764,0,0,0,0,0,0,1,5,2,1,1,1,1,-3.08914007632208,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"54",1,2,0.304865446,-2.205201132,-3.131076275,0,0,0,0,0,0,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"55",1,2,0.441915897,-1.141168704,-3.622637115,1,1,0,0,0,1,3,5,1,1,1,1,5,-1.73034468743594,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"56",1,2,0.515050721,-1.924504588,-3.11666994,1,0,0,0,0,1,2,5,1,1,3,1,3,-1.91298931262161,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"57",1,2,0.812667131,-1.20048244,-0.908924575,0,1,0,0,0,1,5,5,3,3,5,1,3,-0.648460773649967,-1.95500140211954,-0.781557363017546,-0.735944560857401,-0.572480043784732
"58",1,2,0.878946487,-1.307922693,-2.471415098,1,0,0,0,0,1,3,5,3,1,3,1,3,-1.3884666837332,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"59",1,2,0.832918762,-0.148167703,-2.370264804,0,1,0,0,0,1,4,5,3,1,1,1,3,-1.55738901126244,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"60",1,2,0.826751128,-0.293902034,-1.038620542,1,1,0,0,0,1,5,5,4,3,3,1,5,-0.405406462406962,-1.95500140211954,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"61",1,2,0.270728894,-3.508937353,-3.553069101,1,0,0,0,0,1,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"62",1,2,0.760786839,-0.818398891,-0.21513324,0,0,0,0,0,0,5,5,1,3,4,1,1,-1.55738901126244,-1.95500140211954,-1.13165369411085,-1.10699228536153,-0.572480043784732
"63",1,2,0.362095675,-1.710141367,-3.37126842,1,1,0,0,0,1,1,5,1,1,1,1,3,-2.63854706455174,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"64",1,2,0.414198573,-2.494164529,-3.769394084,0,0,0,0,0,0,1,5,3,1,1,1,1,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"65",1,2,0.694793597,-1.465174847,-1.750320412,0,0,0,0,0,0,3,5,3,1,1,1,3,-1.73034468743594,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"66",1,2,0.120900563,-2.268957525,-3.121118031,0,1,0,0,0,1,4,5,1,1,1,1,3,-1.91298931262161,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"67",1,2,0.097089445,-3.025049465,-3.925147126,0,0,0,0,0,0,2,5,3,1,3,1,1,-1.91298931262161,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"68",1,2,0.619915933,-2.269839305,-3.512777304,0,0,0,0,0,0,3,5,2,1,1,1,3,-1.91298931262161,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"69",1,2,0.367775366,-2.667702116,-3.033656326,1,0,0,0,0,1,3,5,1,1,2,1,3,-1.91298931262161,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"70",1,2,0.654646825,-1.581639732,-3.077635323,1,1,0,0,0,1,5,5,1,1,1,1,1,-2.11339371445378,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"71",1,2,0.383946427,-1.613723808,-3.085912962,0,1,0,0,0,1,2,5,3,1,5,1,3,-1.21871557512806,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"72",1,2,0.320286326,-3.082931985,-1.770435569,1,0,0,0,0,1,5,5,3,1,1,1,3,-1.3884666837332,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"73",1,2,0.311881333,-1.974171735,-2.752433547,0,0,0,0,0,0,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"74",1,2,0.087275502,-2.399352018,-3.191050013,0,1,0,0,0,1,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"75",1,2,0.832572076,-1.19912862,-3.915951354,1,1,0,0,0,1,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"76",1,2,0.846917042,-0.180346006,-1.223408503,1,0,0,0,0,1,5,5,3,1,5,3,3,-0.648460773649967,-1.95500140211954,-0.751821144860298,-0.700521104254516,-0.572480043784732
"77",1,2,0.794221552,-0.827241529,-0.635689974,0,1,0,0,0,1,3,5,3,1,3,3,2,-1.55738901126244,-1.95500140211954,-0.781557363017546,-0.735944560857401,-0.572480043784732
"78",1,2,0.122917574,-3.709858163,-2.968393168,0,0,0,0,0,0,5,5,3,1,1,1,3,-1.3884666837332,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"79",1,2,0.772165961,-1.235318273,-3.69045097,0,0,0,0,0,0,4,5,1,1,3,1,3,-1.55738901126244,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"80",1,2,0.877732944,-1.702594424,-0.929002343,0,0,0,0,0,0,5,5,3,1,3,1,3,-1.04323423993162,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"81",1,2,0.947482097,-0.021478123,-0.991298156,1,1,0,0,0,1,5,5,5,1,1,1,3,-1.04323423993162,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"82",1,2,0.896241523,-0.077810737,-0.576318751,1,0,0,0,0,1,5,5,3,1,4,1,5,-0.405406462406962,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"83",1,2,0.360153191,-2.076607448,-2.598096918,0,0,0,0,0,0,4,3,1,1,1,1,3,-1.91298931262161,-2.99201016400882,-1.13165369411085,-1.10699228536153,-0.572480043784732
"84",1,2,0.158012381,-3.019252234,-1.599433984,1,0,0,0,0,1,5,5,3,2,1,1,5,-1.04323423993162,-2.17240806379916,-0.751821144860298,-0.700521104254516,-0.572480043784732
"85",1,2,0.114201725,-3.891069173,-2.960128672,1,0,0,0,0,1,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"86",1,2,0.89361795,-0.411518116,-2.001931994,1,1,0,0,0,1,3,5,1,1,3,1,1,-2.11339371445378,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"87",1,2,0.893994944,0.937777401,0.101143162,1,1,0,0,0,1,5,5,3,1,5,1,5,-0.0936781356758963,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"88",1,2,0.202263352,-3.583619612,-2.523962915,0,0,0,0,0,0,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"89",1,2,0.871693457,-0.634716121,-2.957318166,0,0,0,0,0,0,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"90",1,2,0.711039571,-1.074480188,-3.101548165,1,1,0,0,0,1,3,5,1,1,1,1,5,-1.73034468743594,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"91",1,2,0.17055106,-2.728077247,-4.159809971,1,1,0,0,0,1,1,5,1,1,1,1,3,-2.63854706455174,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"92",1,2,0.888231554,-0.791647207,-3.656091589,1,1,0,0,0,1,3,5,2,1,4,1,2,-1.55738901126244,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"93",1,2,0.639220175,-0.941881725,-1.405261577,1,1,0,0,0,1,3,5,2,1,5,2,1,-1.55738901126244,-2.17240806379916,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"94",1,2,0.205375863,-1.861877929,-3.607049192,0,1,0,0,0,1,4,5,1,1,3,1,1,-1.91298931262161,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"95",1,2,0.296068167,-2.549844195,-2.44366043,0,0,0,0,0,0,3,5,1,1,2,1,1,-2.34529354450057,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"96",1,2,0.875449263,-0.655691716,-1.920258052,1,0,0,0,0,1,3,5,1,1,3,1,3,-1.73034468743594,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"97",1,2,0.565170256,-0.986563181,-0.875022499,0,1,0,0,0,1,5,1,3,1,1,1,4,-1.21871557512806,-3.85537152645194,-0.781557363017546,-0.735944560857401,-0.572480043784732
"98",1,2,0.339207929,-2.928147499,-2.814402065,0,0,0,0,0,0,3,5,1,1,4,1,1,-1.91298931262161,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"99",1,2,0.23374644,-3.242286227,-4.271121736,0,1,0,0,0,1,2,5,1,1,1,1,1,-3.08914007632208,-2.41763584278387,-0.781557363017546,-0.735944560857401,-0.572480043784732
"100",1,2,0.254097252,-3.146915834,-2.997336491,0,0,0,0,0,0,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"101",1,2,0.904797332,-0.895606727,-1.698448107,0,0,0,0,0,0,3,5,1,2,3,1,1,-2.11339371445378,-2.17240806379916,-1.13165369411085,-1.10699228536153,-0.572480043784732
"102",1,2,0.818550671,-0.44156599,-2.509729328,1,0,0,0,0,1,5,5,3,1,1,1,3,-1.3884666837332,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"103",1,2,0.074514113,-3.542896277,-4.192324017,0,0,0,0,0,0,2,5,1,1,1,1,1,-3.08914007632208,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"104",1,2,0.155926243,-2.491981369,-3.310219485,0,0,0,0,0,0,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"105",1,2,0.333644943,-2.092771952,-2.49482285,1,0,0,0,0,1,3,5,1,1,1,1,1,-2.63854706455174,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"106",1,3,0.309836144,-0.018736806,-0.997502038,1,1,0,1,0,1,2,5,3,1,5,1,3,-1.21871557512806,-2.41763584278387,0.201954427153208,7.53230675054617e-05,0.228909840824867
"107",1,3,0.129039002,-0.146164616,-2.650824618,1,1,0,0,0,1,4,5,1,1,1,1,3,-1.91298931262161,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"108",1,3,0.397615364,0.633103621,-0.159873715,1,1,0,1,0,1,5,5,3,1,5,5,3,-0.648460773649967,-1.56581225366612,0.201954427153208,7.53230675054617e-05,0.228909840824867
"109",1,3,0.71524883,-0.100537168,-1.843647069,1,1,0,0,0,1,5,5,2,3,1,1,3,-1.55738901126244,-1.95500140211954,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"110",1,3,0.350256723,0.239751073,-2.976720485,1,0,0,0,0,1,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"111",1,3,0.833435574,0.471801795,-0.889723153,1,0,1,1,0,1,1,5,1,1,3,1,3,-2.11339371445378,-2.41763584278387,-0.616105476821087,-0.700521104254516,0.654996241765911
"112",1,3,0.375490394,-0.019450636,-2.942736,1,0,0,0,0,1,2,5,1,1,5,1,3,-1.55738901126244,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"113",1,3,0.303347889,0.550805686,-0.868288631,1,1,1,0,0,1,3,5,3,1,5,1,3,-1.04323423993162,-2.41763584278387,0.0242471021974574,7.53230675054617e-05,0.0557363887700542
"114",1,3,0.481365197,0.26466664,-1.100857016,1,0,0,0,0,1,5,5,2,1,3,1,4,-1.04323423993162,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"115",1,3,0.818272492,0.819509174,-0.977839659,1,1,0,0,1,1,1,5,3,1,5,1,5,-1.04323423993162,-2.41763584278387,0.0542119188137125,7.53230675054617e-05,0.0625548426537036
"116",1,3,0.653464924,1.263789601,-0.541790821,1,1,0,1,1,1,3,5,3,1,3,3,5,-1.04323423993162,-1.95500140211954,0.648352660520513,7.53230675054617e-05,0.661528275866333
"117",1,3,0.620352166,0.12822857,-3.358200756,1,1,0,0,0,1,3,5,3,1,3,1,3,-1.3884666837332,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"118",1,3,0.747035823,-0.907028522,-2.60637553,0,0,0,0,0,0,3,5,1,1,1,1,3,-2.11339371445378,-2.41763584278387,-1.13165369411085,-1.10699228536153,-0.572480043784732
"119",1,3,0.626788493,-0.348551857,-0.433287821,1,0,0,0,0,1,4,3,3,3,3,1,5,-0.85603797255497,-2.41763584278387,-0.751821144860298,-0.700521104254516,-0.572480043784732
"120",1,3,0.925516859,0.210287031,0.153804411,1,1,0,0,0,1,5,5,5,1,5,1,3,-0.0936781356758963,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"121",1,3,0.137030491,0.389831756,-1.165175763,1,1,0,1,0,1,4,5,3,1,2,1,3,-1.3884666837332,-2.41763584278387,0.201954427153208,7.53230675054617e-05,0.228909840824867
"122",1,3,0.562413178,0.700385896,-1.12481162,1,1,0,0,0,1,3,5,3,3,5,1,1,-1.3884666837332,-1.95500140211954,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"123",1,3,0.5750801,-0.067141033,-2.185657012,1,1,0,0,0,1,3,5,3,1,1,1,1,-2.11339371445378,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"124",1,3,0.620499297,0.237785371,-2.566591238,1,1,0,1,0,1,3,5,1,1,3,1,3,-1.73034468743594,-2.41763584278387,0.201954427153208,7.53230675054617e-05,0.228909840824867
"125",1,3,0.220044871,-1.059707791,-2.502401737,1,1,0,0,0,1,3,5,1,1,3,1,5,-1.3884666837332,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"126",1,3,0.646131829,-0.037901686,-1.487114655,1,1,0,0,0,1,4,5,5,1,2,1,4,-0.85603797255497,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"127",1,3,0.52697347,1.466660396,-2.171413063,1,1,0,0,0,1,4,5,2,1,1,1,1,-2.11339371445378,-2.41763584278387,-0.377893402564653,7.53230675054617e-05,-0.572480043784732
"128",2,1,0.438152545,-3.316199761,-0.894016645,0,0,0,0,0,0,3,5,3,3,1,1,3,-1.73034468743594,-1.95500140211954,-1.13165369411085,-1.10699228536153,-0.572480043784732
"129",2,1,0.100288708,-3.893158086,1.258843314,0,0,0,0,0,0,5,4,5,2,5,3,5,0.9266933280179,-1.95500140211954,-1.13165369411085,-1.10699228536153,-0.572480043784732
"130",2,1,0.480070136,-2.912825673,1.812308256,0,0,0,0,0,0,5,5,5,5,5,1,5,0.9266933280179,-1.56581225366612,-1.13165369411085,-1.10699228536153,-0.572480043784732
"131",2,1,0.526210479,-2.849149905,1.838638381,0,1,0,0,0,1,5,5,3,5,5,3,4,-0.405406462406962,-1.11158532195804,-0.781557363017546,-0.735944560857401,-0.572480043784732
"132",2,1,0.4534246,-3.29472526,0.602351247,0,0,0,0,0,0,4,5,5,3,4,1,4,-0.405406462406962,-1.95500140211954,-1.13165369411085,-1.10699228536153,-0.572480043784732
"133",2,1,0.166693999,-3.941365758,1.199996228,0,1,0,0,0,1,5,5,3,3,3,1,5,-0.648460773649967,-1.95500140211954,-0.781557363017546,-0.735944560857401,-0.572480043784732
"134",2,1,0.608649054,-3.810050116,1.994628739,0,0,0,0,0,0,5,5,5,4,5,3,5,0.9266933280179,-1.36113031943693,-1.13165369411085,-1.10699228536153,-0.572480043784732
"135",2,1,0.790006299,-3.37054191,2.273972766,1,0,0,0,0,1,5,2,5,4,5,5,5,0.9266933280179,-1.56581225366612,-0.751821144860298,-0.700521104254516,-0.572480043784732
"136",2,1,0.670657599,-3.312949054,2.541478821,0,0,0,0,0,0,5,3,5,4,5,3,5,0.9266933280179,-1.75758353508006,-1.13165369411085,-1.10699228536153,-0.572480043784732
"137",2,1,0.242477712,-2.426083599,1.828823997,1,0,0,0,0,1,5,4,5,1,5,3,5,0.9266933280179,-2.17240806379916,-0.751821144860298,-0.700521104254516,-0.572480043784732
"138",2,1,0.331442786,-4.135281904,1.604852672,0,0,0,0,0,0,5,5,5,5,5,3,5,0.9266933280179,-1.11158532195804,-1.13165369411085,-1.10699228536153,-0.572480043784732
"139",2,1,0.748656066,-3.546529307,0.524983011,1,0,0,0,0,1,5,5,5,3,5,1,5,0.9266933280179,-1.95500140211954,-0.751821144860298,-0.700521104254516,-0.572480043784732
